Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
30,Mahmud Muharram,جامع محمود محرم,Maḥmūd Muḥarram,"Mahmud Muharram, merchant in 18c.",جامع محمود محرم,Gâma’ Mahmoud Maharram ,b,mosque,1207,1792,N/A,1792,محمود محرم,Maḥmūd Muḥarram,Mahmud Muharram,30.05042,31.26338,4H,12,VII,G-5,259,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument30
30,Mahmud Muharram,جامع محمود محرم,Maḥmūd Muḥarram,"Mahmud Muharram, merchant in 18c.",N/A,Cistern,c,sabil,1207,1792,N/A,1792,محمود محرم,Maḥmūd Muḥarram,Mahmud Muharram,30.05042,31.26338,4H,12,VII,G-5,259',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument30
31,Qarasunqur,مدرسة قراسنقر,Qarāsunqur,"Amir Qarasunqur, mamlul of Sultan Qalawun",جامع سنقر,Gâma’ Sounqor ,a,mausoleum,700,1300-01,1300-1,1300,قراسنقر,Qarāsunqur,Qarasunqur,30.051202,31.263587,4H,11,VII,G-5,293,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument31
31,Qarasunqur,مدرسة قراسنقر,Qarāsunqur,"Amir Qarasunqur, mamlul of Sultan Qalawun",جامع سنقر,Gâma’ Sounqor ,b,mosque,700,1300-01,1300-1,1300,قراسنقر,Qarāsunqur,Qarasunqur,30.051306,31.263573,4H,11,VII,G-5,293,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument31
32,Bibars al-Gashankir,خانقاه بيبرس الجاشنكير,Bībars al-Gāshankīr,Sultan Baybars al-Gashankir(1309-10),جامع بيبرس,Gâma’ Beybars ,a,mausoleum,706-9,1306-10,1307-10,1306,السلطان المظفر بيبرس الجاشنكير,al-Sulṭān al-Muẓaffar Baybars al-Jāshankīr,al-Sultan al-Muzaffar Baybars al-Jashankir,30.051746,31.263737,3H,11,VII,G-5,294,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument32
32,Bibars al-Gashankir,خانقاه بيبرس الجاشنكير,Bībars al-Gāshankīr,Sultan Baybars al-Gashankir(1309-10),جامع بيبرس,Gâma’ Beybars ,b,minaret,706-9,1306-10,1307-10,1306,السلطان المظفر بيبرس الجاشنكير,al-Sulṭān al-Muẓaffar Baybars al-Jāshankīr,al-Sultan al-Muzaffar Baybars al-Jashankir,30.05163,31.263683,3H,11,VII,G-5,294,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument32
32,Bibars al-Gashankir,خانقاه بيبرس الجاشنكير,Bībars al-Gāshankīr,Sultan Baybars al-Gashankir(1309-10),جامع بيبرس,Gâma’ Beybars ,c,mosque,706-9,1306-10,1307-10,1306,السلطان المظفر بيبرس الجاشنكير,al-Sulṭān al-Muẓaffar Baybars al-Jāshankīr,al-Sultan al-Muzaffar Baybars al-Jashankir,30.051546,31.264019,3H,11,VII,G-5,294,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument32
33,al-Aqmar,جامع الاقمر,al-Aqmar,"al-Ma'mun al-Bata'ihi, Wazir of Fatimid Khalif al-Amir",N/A,N/A,a,minaret,519,1125,N/A,1125,المامون البطائحى,al-M'amūn al-Baṭā'iḥī,al-Mamun al-Bataihi,30.051636,31.261893,3H,19,VII,G-6,316,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument33
33,al-Aqmar,جامع الاقمر,al-Aqmar,"al-Ma'mun al-Bata'ihi, Wazir of Fatimid Khalif al-Amir",N/A,N/A,b,mosque,519,1125,1125,1125,المامون البطائحى,al-M'amūn al-Baṭā'iḥī,al-Mamun al-Bataihi,30.051574,31.262038,3H,19,VII,G-6,316,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument33
34,Emir Bashtak,قصر الامير بشتاك,Emīr Beshtāk,"Amir Bashtak, mamluk of Sultan al-Nasir",زاوية عبد الرحمان كيخيه,Zâouyet A’bd el-Rahmân Kykhyeh,a,residence,735-40,1334-39,1334-9,1335,الامير بشتاك,al-Amīr Bashtāk,al-Amir Bashtak,30.050533,31.261677,4H,19,VII,H-6,285,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument34
34,Emir Bashtak,قصر الامير بشتاك,Emīr Beshtāk,"Amir Bashtak, mamluk of Sultan al-Nasir",زاوية عبد الرحمان كيخيه,Zâouyet A’bd el-Rahmân Kykhyeh,b,mosque,735-40,1334-39,1334-9,1335,الامير بشتاك,al-Amīr Bashtāk,al-Amir Bashtak,30.050533,31.261677,4H,19,VII,H-6,285,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument34
35,Gamal al-Din Ustadar,جامع جمال الدين يوسف الاستادار,Gamāl ad-Dīn al-Ustādār,"Gamal al-Din Ustadar, tax collector",جامع المعلق,Gâma’ el-Ma’llaq ,a,sabil,811,1408,1407,1408,جمال الدين يوسف الاستادار,Jamāl al-Dīn Yūsuf al-Ustādār,Jamal al-Din Yusuf al-Ustadar,30.050853,31.263138,4H,19,VII,G-5,302,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument35
35,Gamal al-Din Ustadar,جامع جمال الدين يوسف الاستادار,Gamāl ad-Dīn al-Ustādār,"Gamal al-Din Ustadar, tax collector",جامع المعلق,Gâma’ el-Ma’llaq ,b,minaret,811,1408,1407,1408,جمال الدين يوسف الاستادار,Jamāl al-Dīn Yūsuf al-Ustādār,Jamal al-Din Yusuf al-Ustadar,30.050642,31.263215,4H,19,VII,G-5,302,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument35
35,Gamal al-Din Ustadar,جامع جمال الدين يوسف الاستادار,Gamāl ad-Dīn al-Ustādār,"Gamal al-Din Ustadar, tax collector",جامع المعلق,Gâma’ el-Ma’llaq ,c,mausoleum,811,1408,1407,1408,جمال الدين يوسف الاستادار,Jamāl al-Dīn Yūsuf al-Ustādār,Jamal al-Din Yusuf al-Ustadar,30.050642,31.263215,4H,19,VII,G-5,302,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument35
35,Gamal al-Din Ustadar,جامع جمال الدين يوسف الاستادار,Gamāl ad-Dīn al-Ustādār,"Gamal al-Din Ustadar, tax collector",جامع المعلق,Gâma’ el-Ma’llaq ,d,mosque,811,1408,1407,1408,جمال الدين يوسف الاستادار,Jamāl al-Dīn Yūsuf al-Ustādār,Jamal al-Din Yusuf al-Ustadar,30.050697,31.263151,4H,19,VII,G-5,302,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument35
36,Tatar al-Hegaziya,مدرسة تاتار الحجازية,Tatar al-Hegāzīya,"Tatar al-Hegaziya(d. 1360 by plague), eldest daughter of Sultan al-Nasir",زاوية حجازيه,Zâouyet Hegâzyeh,a,minaret,748 and 761,1348 & 1360,1348-60,1348,السيدة تتر الحجازية بنت السلطان الناصر محمد بن قلاوون,Tatar bint al-Nāṣir Muḥammad b. Qalāwūn ,Tatar bint al-Nasir Muhammad b. Qalawun,30.050321,31.262797,4H,19,VII,H-5,261,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument36
36,Tatar al-Hegaziya,مدرسة تاتار الحجازية,Tatar al-Hegāzīya,"Tatar al-Hegaziya(d. 1360 by plague), eldest daughter of Sultan al-Nasir",زاوية حجازيه,Zâouyet Hegâzyeh,b,mausoleum,748 and 761,1348 & 1360,1348-60,1348,السيدة تتر الحجازية بنت السلطان الناصر محمد بن قلاوون,Tatar bint al-Nāṣir Muḥammad b. Qalāwūn ,Tatar bint al-Nasir Muhammad b. Qalawun,30.050445,31.262909,4H,19,VII,H-5,261,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument36
36,Tatar al-Hegaziya,مدرسة تاتار الحجازية,Tatar al-Hegāzīya,"Tatar al-Hegaziya(d. 1360 by plague), eldest daughter of Sultan al-Nasir",زاوية حجازيه,Zâouyet Hegâzyeh,c,mosque,748 and 761,1348 & 1360,1348-60,1348,السيدة تتر الحجازية بنت السلطان الناصر محمد بن قلاوون,Tatar bint al-Nāṣir Muḥammad b. Qalāwūn ,Tatar bint al-Nasir Muhammad b. Qalawun,30.050336,31.262915,4H,19,VII,H-5,261,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument36
37,az-Zahir Bibars,بقايا مدرسة الظاهر بيبرس البندقدارى,aẓ-Ẓāhir Bībars,Sultan al-Zahir Baybars,جامع الظاهريه,Gâma’ el-Dâhryeh ,,mosque,660-662,1262-63,1262-3,1262,السلطان الظاهر بيبرس البندقدارى,al-Sulṭān al-Ẓāhir Baybars al-Bunduqdārī,al-Sultan al-Zahir Baybars al-Bunduqdari,30.049416,31.261187,4H,19,VII,H-6,274,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument37
38,as-Salih Neqm ad-Din Ayyub,مدرسة وقبة نجم الدين ايوب,aṣ-Ṣāliḥ Negm ad-Dīn Ayyūb,Sultan as-Salih Neqm ad-Din Ayyub,مدفن صالح,Madfoun Sâleh ,a,mausoleum,641-48,1243-50,1242-50,1243,السلطان الصالح نجم الدين ايوب,al-Sulṭān al-Ṣāliḥ Najm al-Dīn Ayyūb,al-Sultan al-Salih Najm al-Din Ayyub,30.049159,31.261307,4H,19,VII,I-6,247,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument38
38,as-Salih Neqm ad-Din Ayyub,مدرسة وقبة نجم الدين ايوب,aṣ-Ṣāliḥ Negm ad-Dīn Ayyūb,Shajar al-Durr,جامع الصالح,Gâma’ el-Sâleh ,b,minaret,641-48,1243-50,1242-50,1243,السلطان الصالح نجم الدين ايوب,al-Sulṭān al-Ṣāliḥ Najm al-Dīn Ayyūb,al-Sultan al-Salih Najm al-Din Ayyub,30.048735,31.261165,4H,19,VII,?,,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument38
38,as-Salih Neqm ad-Din Ayyub,مدرسة وقبة نجم الدين ايوب,aṣ-Ṣāliḥ Negm ad-Dīn Ayyūb,Sultan as-Salih Neqm ad-Din Ayyub,جامع الصالح,Gâma’ el-Sâleh ,c,mosque,641-48,1243-50,1242-50,1243,السلطان الصالح نجم الدين ايوب,al-Sulṭān al-Ṣāliḥ Najm al-Dīn Ayyūb,al-Sultan al-Salih Najm al-Din Ayyub,30.048914,31.261523,4H,19,VII,H-6,273,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument38
39,Badr ad-Din al-'Agami,محراب مسجد بدر الدين العجمى,Badr al-Dīn al-‘Ajamī,"Muhammad al-'Abbasi, Nasir al-Din Muhammad",زوية الصالح,Zâouyet el-Sâleh,,mosque,N/A,N/A,1357,1357,بدر الدين العجمى,Badr al-Dīn al-ʻAjamī,Badr al-Din al-Ajami,30.048562,31.261998,N/A,19,VII,I-5,227,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument39
40,Shaykh Mutahhar/'Abd ar-Rahman Katkhuda,مسجد الشيخ مطهر,Shaykh Muṭahhar (ʻAbd al-Raḥmān Katkhudā),Abd al-Rahman Katkhuda to commemorate Shaykh 'Ali al-Mutahhar,جامع الشيخ مطاهر,Gâma’ el-cheykh Moutâhar ,a,minaret,1175,1744,N/A,1744,عبد الرحمن كتخدا بن حسن جاويش القازدغلي,Abd al-Raḥmān Karkhdā b. Ḥasan Jāwīsh al-Qāzdaghlī,Abd al-Rahman Katkhuda b. Hasan Jawish al-Qazdaghli,30.047711,31.260349,4G,19,VII,I-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument40
40,Shaykh Mutahhar/'Abd ar-Rahman Katkhuda,مسجد الشيخ مطهر,Shaykh Muṭahhar (ʻAbd al-Raḥmān Katkhudā),Abd al-Rahman Katkhuda to commemorate Shaykh 'Ali al-Mutahhar,جامع الشيخ مطاهر,Gâma’ el-cheykh Moutâhar ,b,mosque,1175,1744,N/A,1744,عبد الرحمن كتخدا بن حسن جاويش القازدغلي,Abd al-Raḥmān Karkhdā b. Ḥasan Jāwīsh al-Qāzdaghlī,Abd al-Rahman Katkhuda b. Hasan Jawish al-Qazdaghli,30.047792,31.260091,4G,19,VII,I-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument40
40,Shaykh Mutahhar/'Abd ar-Rahman Katkhuda,مسجد الشيخ مطهر,Shaykh Muṭahhar (ʻAbd al-Raḥmān Katkhudā),Abd al-Rahman Katkhuda to commemorate Shaykh 'Ali al-Mutahhar,جامع الشيخ مطاهر,Gâma’ el-cheykh Moutâhar ,c,mausoleum of Shaykh 'Ali al-Mutahhar(d. 1778/7),1175,1744,N/A,1744,عبد الرحمن كتخدا بن حسن جاويش القازدغلي,Abd al-Raḥmān Karkhdā b. Ḥasan Jāwīsh al-Qāzdaghlī,Abd al-Rahman Katkhuda b. Hasan Jawish al-Qazdaghli,30.047783,31.260037,4G,19,VII,I-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument40
40,Shaykh Mutahhar/'Abd ar-Rahman Katkhuda,مسجد الشيخ مطهر,Shaykh Muṭahhar (ʻAbd al-Raḥmān Katkhudā),Abd al-Rahman Katkhuda to commemorate Shaykh 'Ali al-Mutahhar,جامع الشيخ مطاهر,Gâma’ el-cheykh Moutâhar ,d,mausoleum of mother of 'Abd al-Rahman Katkhuda,1175,1744,N/A,1744,عبد الرحمن كتخدا بن حسن جاويش القازدغلي,Abd al-Raḥmān Karkhdā b. Ḥasan Jāwīsh al-Qāzdaghlī,Abd al-Rahman Katkhuda b. Hasan Jawish al-Qazdaghli,30.047783,31.260037,4G,19,VII,I-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument40
40,Shaykh Mutahhar/'Abd ar-Rahman Katkhuda,مسجد الشيخ مطهر,Shaykh Muṭahhar (ʻAbd al-Raḥmān Katkhudā),Abd al-Rahman Katkhuda to commemorate Shaykh 'Ali al-Mutahhar,جامع الشيخ مطاهر,Gâma’ el-cheykh Moutâhar ,e,sabil kuttab,1175,1744,N/A,1744,عبد الرحمن كتخدا بن حسن جاويش القازدغلي,Abd al-Raḥmān Karkhdā b. Ḥasan Jāwīsh al-Qāzdaghlī,Abd al-Rahman Katkhuda b. Hasan Jawish al-Qazdaghli,30.047738,31.260362,4G,19,VII,I-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument40
41,Shaykh Sinan,ضريح الشيخ سنان,Shaykh Sinān,N/A,زاوية الأعجام,Zâouyet el-A’agâm ,a,mausoleum,994,1585,N/A,1585,الشيخ سنان,al-Shaykh Sinān,al-Shaykh Sinan,30.050729,31.262051,4H,19,VII,G-6,307,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument41
41,Shaykh Sinan,ضريح الشيخ سنان,Shaykh Sinān,N/A,زاوية الأعجام,Zâouyet el-A’agâm ,b,mausoleum,994,1585,N/A,1585,الشيخ سنان,al-Shaykh Sinān,al-Shaykh Sinan,30.050712,31.262098,4H,19,VII,G-6,307,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument41
42,Taghri Bardi/al-Mihmandariya,جامع تغرى بردى,Taghrī Bardī,"Taghribardi, important merchant",جامع البيه منضر,Gâma’ el-bey Mandor ,a,mosque,10t h cent.,16th cent.,16c.,1550,تغرى بردى,Taghrī Birdī,Taghri Birdi,30.048759,31.259968,4G,19,V,I-6,42,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument42
42,Taghri Bardi/al-Mihmandariya,جامع تغرى بردى,Taghrī Bardī,"Taghribardi, important merchant",جامع البيه منضر,Gâma’ el-bey Mandor ,b,sabil kuttab,10t h cent.,16th cent.,16c.,1550,تغرى بردى,Taghrī Birdī,Taghri Birdi,30.048746,31.25985,4G,19,V,I-6,42,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument42
43,al-Mansur Qala'un,مدرسة ومارستان وقبة السلطان قلاوون,al-Manṣūr Qalāʼūn,Sultan Qalawun,المرستان,"El-Mouristân, hôpital pour les fous ",a,mausoleum,683-84,1284-85,1284-5,1284,السلطان قلاوون,al-Sulṭān Qalāwūn,al-Sultan Qalawun,30.049535,31.260895,4G,19,V,H-6,52,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument43
43,al-Mansur Qala'un,مدرسة ومارستان وقبة السلطان قلاوون,al-Manṣūr Qalāʼūn,Sultan Qalawun,المرستان,"El-Mouristân, hôpital pour les fous ",b,mosque,683-84,1284-85,1284-5,1284,السلطان قلاوون,al-Sulṭān Qalāwūn,al-Sultan Qalawun,30.049287,31.26075,4G,19,V,H-6,52,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument43
43,al-Mansur Qala'un,مدرسة ومارستان وقبة السلطان قلاوون,al-Manṣūr Qalāʼūn,Sultan Qalawun,المرستان,"El-Mouristân, hôpital pour les fous ",c,mosque,683-84,1284-85,1284-5,1284,السلطان قلاوون,al-Sulṭān Qalāwūn,al-Sultan Qalawun,30.049414,31.260205,4G,19,V,H-6,52,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument43
43,al-Mansur Qala'un,مدرسة ومارستان وقبة السلطان قلاوون,al-Manṣūr Qalāʼūn,Sultan Qalawun,المرستان,"El-Mouristân, hôpital pour les fous ",d,minaret,683-84,1284-85,1284-5,1284,السلطان قلاوون,al-Sulṭān Qalāwūn,al-Sultan Qalawun,30.04958,31.261063,4G,19,V,H-6,52,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument43
44,an-Nasir Muhammad,مدرسة الناصر محمد بن قلاوون,an-Nāsir Muḥammad,Sultan Kitbugha and Sultan al-Nasir,جامع السلطان ناصف,Gâma’ el-soultân Nâsef ,a,minaret,695-703,1295-1304,1295-1303,1294,السلطان الناصر محمد بن قلاوون,al-Sulṭān al-Nāṣir Muḥammad b. Qalāwūn,al-Sultan al-Nasir Muhammad b. Qalawun,30.049759,31.26105,4H,19,VII,H-6,278,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument44
44,an-Nasir Muhammad,مدرسة الناصر محمد بن قلاوون,an-Nāsir Muḥammad,Sultan Kitbugha and Sultan al-Nasir,جامع السلطان ناصف,Gâma’ el-soultân Nâsef ,b,mausoleum,695-703,1295-1304,1295-1303,1294,السلطان الناصر محمد بن قلاوون,al-Sulṭān al-Nāṣir Muḥammad b. Qalāwūn,al-Sultan al-Nasir Muhammad b. Qalawun,30.049865,31.26105,4H,19,VII,H-6,278,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument44
44,an-Nasir Muhammad,مدرسة الناصر محمد بن قلاوون,an-Nāsir Muḥammad,Sultan Kitbugha and Sultan al-Nasir,جامع السلطان ناصف,Gâma’ el-soultân Nâsef ,c,mosque,695-703,1295-1304,1295-1303,1294,السلطان الناصر محمد بن قلاوون,al-Sulṭān al-Nāṣir Muḥammad b. Qalāwūn,al-Sultan al-Nasir Muhammad b. Qalawun,30.049868,31.260767,4H,19,VII,H-6,278,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument44
45,Mithqal/ as-Sadiqiya/ Amir Sadiq al-Din Mithqal al-Anuki,مدرسة الامير مثقال,Mithqāl (as-Sādiqīya),"Mithqal, chief eunuch ot Sultan Muhammad II(1361-3) and Sultan Sha'ban II(1363-77)",جامع شيخ الأسلام,Gâma’ cheykh el-Aslâm ,,mosque,763,1361-62,1361-3,1361,الامير مثقال,al-Amīr Mithqāl,al-Amir Mithqal,30.050509,31.26247,4H,19,VII,H-5,283,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument45
46,Abd al-Latif al-Qarafi,واجهه جامع عبد اللطيف القرافى,ʻAbd al-Laṭīf al-Qarāfī,Abd al-Latif al-Qarafi,جامع قرافي,Gâma’ el-Qarâfy ,,mosque,end 10th cent.,end 16th cent.,N/A,1550,عبد اللطيف القرافى,‘Abd al-Laṭīf al-Qarāfī,Abd al-Latif al-Qarafi,30.051171,31.260772,4H,19,V,G-6,64,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument46
47,Qadi 'Askar,باب القاضى عسكر,Qāḍī ‘Askar,"Amir Bashtak, at the site of Fatimid Soldier's gate of Eastern Palace",N/A,N/A,,bab,N/A,N/A,N/A,1334,N/A,N/A,N/A,30.050374,31.261461,N/A,19,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument47
48,Muhib ad-Din Abu'l-Tayyib,جامع محب الدين ابو الطيب,Muḥib ad-Dīn Abū’ṭ-Ṭayyib,Muhib ad-Din Abu'l-Tayyib,جامع الطايبيه,Gāma’ el-Tâybyeh ,,mosque,beginning 10th cent.,16th cent.,N/A,1527,محب الدين ابو الطيب,Muḥibb al-Dīn Abū al-Ṭayyib,Muhibb al-Din Abu al-Tayyib,30.051295,31.260004,4G,19,V,G-7,63,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument48
49,Abu Bakr Muzhir,مدرسة ابو بكر مزهر,Abū Bakr Muzhir,"Abu Bakr ibn Muzhir, chancellor of Sultan Qaytbay",جامع المزهريه,Gâma’ el-Mouzheryeh ,a,minaret,884,1479-80,N/A,1479,ابو بكر بن مزهر,Abū Bakr b. Muzhir,Abu Bakr b.  Muzhir,30.053032,31.260875,3H,18,V,F-6,75,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument49
49,Abu Bakr Muzhir,مدرسة ابو بكر مزهر,Abū Bakr Muzhir,"Abu Bakr ibn Muzhir, chancellor of Sultan Qaytbay",جامع المزهريه,Gâma’ el-Mouzheryeh ,b,mosque,884,1479-80,1479-80,1479,ابو بكر بن مزهر,Abū Bakr b. Muzhir,Abu Bakr b.  Muzhir,30.052974,31.260747,3H,18,V,F-6,75,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument49
49,Abu Bakr Muzhir,مدرسة ابو بكر مزهر,Abū Bakr Muzhir,"Abu Bakr ibn Muzhir, chancellor of Sultan Qaytbay",سبيل المزهريه,Sibyl el-Mouzheryeh ,c,sabil kuttab,884,1479-80,1479-80,1479,ابو بكر بن مزهر,Abū Bakr b. Muzhir,Abu Bakr b.  Muzhir,30.052958,31.260581,3H,18,V,F-6,76,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument49
50,Muhib ad-Din al-Muwaqqi'/Qa'a of Bybars/Qa'a of 'Uthman Katkhuda,قاعة محب الدين,Muḥib ad-Dīn al-Muwaqqiʻ (Waqf ʻUthmān Katkhudā),N/A,N/A,N/A,a,residence,751,1350,1253 and 1350,1350,محب الدين الموقع الشافعي,Muḥibb al-Dīn al-Muwaqqi' al-Shāfi'ī,Muhibb al-Din al-Muwaqqi al-Shafii,30.049603,31.261698,4H,19,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument50
50,Muhib ad-Din al-Muwaqqi'/Qa'a of Bybars/Qa'a of 'Uthman Katkhuda,قاعة محب الدين,Muḥib ad-Dīn al-Muwaqqiʻ (Waqf ʻUthmān Katkhudā),N/A,N/A,N/A,b,residence,751,1350,1253 and 1350,1350,محب الدين الموقع الشافعي,Muḥibb al-Dīn al-Muwaqqi' al-Shāfi'ī,Muhibb al-Din al-Muwaqqi al-Shafii,30.049632,31.261744,4H,19,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument50
51,Mamay as-Sa'ifi/Bayt al-Qadi,مقعد الامير ماماى السيفى,Māmāy as-Saifi,Amir of Sultan Qaytbay,بيت القاضي الأسلام,Beyt el-qâdy el-Aslâm ,,residence,901,1496,1496,1496,الامير ماماى السيفى,al-Amīr Māmāy al-Sayfī,al-Amir Mamay al-Sayfi,30.049155,31.262242,4H,19,VII,H-5,265,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument51
